Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2011,5,21,06:00,UTC,,,,-1.4,,
2011,5,22,00:00,UTC,-1,-1,11.6,,18.4,6.6
2011,5,22,06:00,UTC,,,,5.6,,
2011,5,23,00:00,UTC,2.2,-1,14,,21.3,5.3
2011,5,23,06:00,UTC,,,,0.9,,
2011,5,24,00:00,UTC,2.8,-1,12.3,,17.1,7.1
2011,5,24,06:00,UTC,,,,6.3,,
2011,5,25,00:00,UTC,-1,-1,11.3,,14.8,8.8
2011,5,25,06:00,UTC,,,,6.3,,
2011,5,26,00:00,UTC,0.2,-1,8.6,,12.6,6.4
2011,5,26,06:00,UTC,,,,4.6,,
2011,5,27,00:00,UTC,2.9,-1,10.6,,15.8,1.1
2011,5,27,06:00,UTC,,,,-3.3,,
2011,5,28,00:00,UTC,6.7,-1,9.5,,14.1,7.4
2011,5,28,06:00,UTC,,,,6.9,,
2011,5,29,00:00,UTC,3.1,-1,10.6,,16.2,7
2011,5,29,06:00,UTC,,,,6.7,,
2011,5,30,00:00,UTC,2,-1,11.3,,16.2,7.2
2011,5,30,06:00,UTC,,,,5,,
2011,5,31,00:00,UTC,-1,-1,15.5,,22.6,6.7
2011,5,31,06:00,UTC,,,,3.5,,
2011,6,1,00:00,UTC,17.2,-1,12.8,,19.1,8.8
2011,6,2,00:00,UTC,0.7,-1,11.4,,16.2,7.9
2011,6,2,06:00,UTC,,,,8.2,,
2011,6,3,00:00,UTC,-1,-1,12.7,,16.6,7.9
2011,6,3,06:00,UTC,,,,5.4,,
2011,6,4,00:00,UTC,-1,-1,14.4,,23.3,9.4
2011,6,4,06:00,UTC,,,,6.7,,
2011,6,5,00:00,UTC,-1,-1,9.5,,12.9,7.2
2011,6,5,06:00,UTC,,,,5.8,,
2011,6,6,00:00,UTC,-1,-1,15,,23.3,2.2
2011,6,6,06:00,UTC,,,,-1.8,,
2011,6,7,00:00,UTC,-1,-1,20.6,,29.6,11.5
2011,6,7,06:00,UTC,,,,6.7,,
2011,6,8,00:00,UTC,-1,-1,23.7,,30.6,16.8
2011,6,8,06:00,UTC,,,,13.6,,
2011,6,9,00:00,UTC,-1,-1,22.1,,28.9,13.6
2011,6,9,06:00,UTC,,,,9.3,,
2011,6,10,00:00,UTC,-1,-1,24.5,,31.6,12.8
2011,6,10,06:00,UTC,,,,10,,
2011,6,11,00:00,UTC,-1,-1,22.7,,29.3,17.4
2011,6,11,06:00,UTC,,,,12.6,,
2011,6,12,00:00,UTC,-1,-1,13.1,,26.8,10.8
2011,6,12,06:00,UTC,,,,9.4,,
2011,6,13,00:00,UTC,-1,-1,11.3,,15.9,5.8
2011,6,13,06:00,UTC,,,,4.8,,
2011,6,14,00:00,UTC,-1,-1,12.6,,16.9,9.2
2011,6,14,06:00,UTC,,,,5.1,,
2011,6,15,00:00,UTC,-1,-1,13.8,,,
2011,6,15,06:00,UTC,,,,-0.7,,
2011,6,16,00:00,UTC,2.1,-1,15.7,,20.7,9
2011,6,16,06:00,UTC,,,,5.9,,
2011,6,17,00:00,UTC,-1,-1,13.3,,,
2011,6,17,06:00,UTC,,,,,,
2011,6,18,00:00,UTC,1.1,-1,12.6,,17.3,7
2011,6,18,06:00,UTC,,,,4.4,,
2011,6,19,00:00,UTC,1,-1,13.8,,19.2,6.6
2011,6,19,06:00,UTC,,,,1.8,,
2011,6,20,00:00,UTC,17.9,-1,13.9,,15.6,12.1
